ID	Statement	QuestionType
1594392341	whats in your mouths?	special
1301611407	what is in your mouth?	special
366736900	what the fuck?	special
1302269869	wtf?	special
1785077930	what the hell?	special
1879325969	wth?	special
1376857427	what on earth?	special
1507314762	what is that place called again?	special
483034189	what was that called again?	special
98540504	what was that generic item over there?	special
2034113684	what is in your purse today?	special
1843740926	what is in the store today?	special
1197127451	what does the internet have for me to read today?	special
135305391	what will i do today?	special
1289233353	what did he say?	special
835447309	what did she say?	special
1749327814	what was that chicks name?	special
398118669	what was that dudes name?	special
1408433369	what on the fucking earth was that?	special
384941988	what were you thinking?	special
177470254	what did you say to them?	special
364385041	what did you say to him?	special
1143024573	what did you say to me?	special
288410676	what did you just do?	special
628397932	what did you do?	special
1543673002	what now?	special
1342878271	what in the fuck are you doing there?	special
477953446	what the hell did you buy that for?	special
835376746	what did you get that for?	special
314893999	what use is that?	special
1742743827	whats the use?	special
155547326	whats going wrong with me?	special
1591895914	whats wrong with them?	special
822170698	whats wrong with him?	special
1437020644	whats wrong with her?	special
830554233	what is she crying about now?	special
1492599995	when did you stop by?	special
588367530	when did you buy that?	special
233370754	when did you do that?	special
1545797642	when did we talk last?	special
1709712134	when are we going out?	special
1727919220	when did i say we should go again?	special
1958724785	when are you going to make up your mind?	special
481534142	when are you going to get married?	special
23273546	when are you coming over?	special
1490275011	when did you get that dude?	special
1991913333	when did you get tattoos?	special
1027090136	when did you get that?	special
747864134	when did you say that?	special
1419322454	when did i say that?	special
78063482	when did she say that?	special
1568751406	when the hell was that?	special
2128312710	when the fuck was that?	special
1824222195	when did i do this?	special
390364531	when did i do that?	special
642119199	when are you going to get food?	special
1718182380	when are you going to the store?	special
1637921770	when were you born?	special
85983836	when were you produced?	special
1801000474	when were you made?	special
2096043244	when was that made?	special
311015880	when was that produced?	special
84049915	when did you have her?	special
1727735736	when was she born?	special
2062875870	when was he born?	special
1290678257	when did they give birth?	special
1811440558	when did she miscarry?	special
1934552299	when did the music stop?	special
257880293	when are we going back?	special
2018274666	when did you say i can come back?	special
902442860	when is my time up?	special
573072183	when do i have to be there?	special
1724343461	when do i have to go?	special
1422231273	when do you want me there?	special
234825400	when should i drop by?	special
9146580	when did i say come over?	special
2112739449	when are you going to leave me alone?	special
73602330	when are you going to understand?	special
1824732676	when are you going to implement this?	special
697718467	when did you start doing that again?	special
1111355215	when did you start that?	special
1875383681	when is the next time?	special
1289684858	when are we going to the gym?	special
975649838	when did you want to go?	special
1796426063	when did you say you could come over again?	special
1733587967	when the fuck did you do that?	special
1734313809	when did this file get so big?	special
1327269265	when did coding get so cool?	special
1991401713	when did china blow up?	special
207013344	when did that happen?	special
671967399	when can i sign up?	special
1414273771	when is the store open?	special
2061979240	when can i get tacos?	special
2139449473	how did that happen?	special
1009349944	how was that?	special
810808153	how did you get there?	special
1055981204	how did i get in here?	special
1790584595	how on earth?	special
2125737465	how the hell?	special
292190835	how the fuck?	special
1238429999	how in the fucking hell?	special
1616956580	how did we do that last time?	special
181321742	how can i tell if its not good?	special
289185014	how can i tell?	special
2076475140	how did she do thathow did he get in shit?	special
1064586845	how did they get caught?	special
1404003491	how did they hear about us?	special
118193336	how did you hear about us?	special
1001508694	how on earth can we get there?	special
1940813497	how did you get there?	special
88975296	how did you afford that?	special
1056691949	how can we even afford that?	special
1372784640	how did you do that?	special
947860915	how?	special
101757158	how do i?	special
1780255109	how do you?	special
580926568	how do they?	special
667995623	how are they?	special
1490905219	how are you?	special
1888883449	how can you?	special
1115959994	how can i?	special
2043766839	how can?	special
1502746132	how to?	special
1610462495	how to do?	special
758419166	how am?	special
